,escola,corr_direta,tp_rede,uf,ind_disp,corr_ind,tx_progr,tx_evolucao,ideb_ai,ideb_af,tx_cresc_af,tx_cresc_ai
0,11024682,-0.3480726062187996,Estadual,RO,3.259636968906002,0.2875430708824764,-0.2000615233173373,-0.04144144144144142,6.9,0.0,-0.025641025641025664,0.28571428571428575
1,11024968,0.5072358339233178,Estadual,RO,7.536179169616589,0.6699605897381226,-0.212634859230604,0.282258064516129,0.0,5.3,0.31428571428571417,0.31111111111111117
2,11025638,0.8395966721236273,Estadual,RO,9.197983360618137,0.923446799838221,-0.09991972531752202,0.09447004608294925,0.0,5.0,0.2727272727272729,0.44736842105263164
3,11006773,0.8844427536512328,Estadual,RO,9.422213768256164,0.7053119291061825,-0.06501748131469487,-0.14550264550264572,5.8,5.1,0.6451612903225805,0.5263157894736842
4,11006846,0.7027181437959452,Estadual,RO,8.513590718979726,0.9968423051219225,-0.10795482360860387,-0.12885662431941922,6.0,4.8,0.2631578947368421,0.5
5,11006854,0.7314496343976084,Municipal,RO,8.65724817198804,0.25620903234854614,0.14764996907854044,0.04605263157894713,5.2,5.3,0.5588235294117647,0.5757575757575759
6,11006889,0.5450563821318855,Estadual,RO,7.725281910659428,0.8393860299255063,-0.09051124314282222,0.02702702702702688,6.0,5.1,0.2749999999999999,0.5789473684210527
7,11007079,0.8569631616301965,Municipal,RO,9.284815808150983,-0.9917494877490394,-0.025156695156695164,-0.33268292682926826,5.4,0.0,0.11764705882352938,0.36111111111111116
8,11007168,0.5643641502162825,Estadual,RO,7.821820751081413,0.5060132589497656,-0.0912961450188664,0.5199999999999999,0.0,4.5,0.16129032258064516,0.44736842105263164
9,11007281,0.7782644892247794,Estadual,RO,8.891322446123898,0.7040575786186292,-0.09479166666666672,-0.057017543859649036,6.3,0.0,0.19444444444444436,0.2749999999999999
10,11007451,0.9415544714433867,Municipal,RO,9.707772357216934,0.7559289460184546,-0.020077220077220126,0.19006102877070596,4.9,0.0,0.3,0.2857142857142857
11,11007508,0.7951639746474383,Municipal,RO,8.975819873237192,0.9579739961226642,-0.009168609168609176,-0.012539184952978137,4.7,0.0,0.44827586206896564,0.7333333333333334
12,11007524,0.8270437640286377,Estadual,RO,9.135218820143189,0.9759059152447007,-0.030929572417753404,-0.07936507936507942,0.0,5.8,0.30769230769230765,0.3191489361702127
13,11007737,0.6117641492073348,Municipal,RO,8.058820746036673,0.7392284758051434,0.04948182622331232,-0.12559808612440201,0.0,4.3,0.3437499999999999,0.3125
14,11007834,0.7388966779666845,Municipal,RO,8.694483389833422,0.46776758111881905,0.14252345308245928,-0.18608695652173923,5.2,4.8,0.2972972972972972,0.3333333333333334
15,11041439,0.7068938201203726,Municipal,RO,8.534469100601862,0.27268554259578665,0.065359477124183,-0.17023809523809535,5.0,0.0,0.13888888888888876,0.5294117647058825
16,11034440,0.7495530890924179,Estadual,RO,8.74776544546209,0.47945743485768294,-0.11784990900844572,0.13012820512820492,0.0,5.0,0.16216216216216206,0.5365853658536587
17,11026464,0.862315852852267,Estadual,RO,9.311579264261335,0.5990319625390812,0.07074110359138697,0.02169811320754721,7.1,5.7,0.39024390243902457,0.868421052631579
18,11026499,0.9345898458793939,Estadual,RO,9.67294922939697,0.7451552666117468,-0.02383745946148641,-0.10163170163170163,5.9,4.7,0.3823529411764707,0.512820512820513
19,11026545,0.7825589899643569,Estadual,RO,8.912794949821784,0.6789714446655666,-0.07053813395276798,0.13888888888888862,5.8,4.8,0.4999999999999999,0.4146341463414635
20,11026626,0.8628997183192776,Estadual,RO,9.314498591596388,-0.8360072231336116,0.10125117944343187,0.9380252100840334,6.3,0.0,0.07142857142857138,0.3414634146341465
21,11026758,0.8521850555108131,Estadual,RO,9.260925277554065,0.6777990529543026,-0.020467566604294718,0.23563218390804594,6.7,5.5,0.375,0.558139534883721
22,11026812,0.8505005847168218,Municipal,RO,9.252502923584109,0.7559289460184543,0.07942152678994785,0.12348178137651845,5.2,4.5,0.15384615384615388,0.4054054054054054
23,11027088,0.9234145504619132,Municipal,RO,9.617072752309566,0.6709299417757345,-0.0816993464052288,-0.21250000000000008,6.3,4.2,0.20000000000000004,0.6153846153846154
24,11027312,0.933171566213588,Estadual,RO,9.66585783106794,0.9253800768185769,-0.08203260641048671,-0.06682027649769587,6.8,5.4,0.9285714285714288,0.5111111111111111
25,11027320,0.8757920085969112,Estadual,RO,9.378960042984556,0.8323166783031565,-0.09053518992137932,-0.011851851851851971,6.7,5.8,0.5675675675675674,0.4565217391304349
26,11027401,-0.8450434075571134,Estadual,RO,0.7747829622144327,0.2125460486592275,-0.020160567177303745,-0.011382113821138162,0.0,0.0,-0.21212121212121204,0.28124999999999983
27,11043342,0.7811257650456866,Municipal,RO,8.905628825228433,0.3545621041711674,-0.056548479715772926,0.26757369614512433,5.3,0.0,0.2285714285714285,0.3333333333333334
28,11034777,0.9780969557190445,Estadual,RO,9.890484778595223,-0.5242171177607095,-0.2008457613814757,-0.1609756097560975,0.0,5.2,0.2647058823529412,0.061224489795918324
29,11035951,-0.48728608063105644,Estadual,RO,2.563569596844718,0.7831749506455699,-0.2442778522486766,0.0008920606601249096,0.0,5.1,-0.06666666666666662,0.45454545454545453
30,11035960,0.057742183591844354,Estadual,RO,5.2887109179592215,0.5334146226738528,-0.27650534461276144,0.1775362318840579,0.0,5.0,0.44117647058823545,0.11538461538461531
31,11036397,0.7072505219102949,Estadual,RO,8.536252609551475,0.15388134522613384,-0.04774464169468795,-0.09979423868312778,5.3,5.0,0.38888888888888884,0.5142857142857142
